id,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
10,拓威天海,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e120275d3da0182379297.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=q0GBOirOs3N7fQvLmz%2BuJULLxVE%3D,电子商务,跨境物流货代企业,广东省,A轮,A轮,数千万人民币,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=5b2b7cb1d70d56aaa9ddf1e575905b06&id=bd0c71d2ad1548f5a41dec30c70bfe7c,"[{'investor': '深创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=99fe4767812a5edea143e3a80159d510&id=7a65299129e86e2a3e2baeb7bec36712', 'invest_type_name': '独投', 'invest_type': '4'}]",558
11,芯视佳,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202102/product601b658bb4d9e370431458.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=AF8%2BSbUZhsgOWlbeUek%2BVThbOCU%3D,生产制造,OLED微显示屏研发商,广东省,战略融资,战略融资,未披露,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=ab7deb3d6d9553379a891b1df2330582&id=668cfe53d2df0b6f286d5e947563f055,"[{'investor': '中微公司', 'detail': 'http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=1e5b1a8dfb1e51e2a7e895a4405ccb6d&id=657c03c8903c5e754260be29290d3c4c', 'invest_type_name': '独投', 'invest_type': '4'}]",540
12,本末科技,https://img1.qimingpian.cn/uploadImg/202109/613e9f3ab9a19.png,先进制造,直驱型精准动力方案提供商,广东省,Pre-A轮,Pre-A轮,数千万人民币,2021.05.19,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=fc502cf1740e5316b339bc401eb9415c&id=a213c72c64ae6cb2713a4db0399ea734,"[{'investor': '五源资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=9a943ed431aa592aa9ad3fb2c9bcf255&id=bc51500d1c4d9ae39451347c6449e12e', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': 'XBOTPARK基金', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=0ea138c31d0c5a50ace6f6918fc4ae83&id=f22ab0203074a097b98439d46dc78fe4', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '大米创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=21ef876c81c2545189871387a2456c4d&id=1a828062126176aef99d313d4eb91c7c', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '奇绩创坛', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=ae61f4aa346154bbbccba0f31b1b142c&id=984c838baab05e26e259394ff10d9693', 'invest_type_name': '跟投', 'invest_type': '2'}]",534
13,能链,https://img1.qimingpian.cn/uploadImg/202106/60c7fb0e4fc15.png,汽车交通,能源物联网EIoT及能源新零售平台,北京市,战略融资,战略融资,未披露,2022.02.10,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=3c6675e7bb2c546f84ae99af05535332&id=ab74903f189e1a9cee59288ba5db3469,"[{'investor': '华润资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=5bfab9183f755f8482fc8b5803ed156a&id=eb08c6f7f57d8664fcb78aeab9ce6cf2', 'invest_type_name': '独投', 'invest_type': '4'}]",534
14,富兰瓦时,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202105/product60b055ab8117d765168060.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=XX32JkkG8jDTSI9W6jT%2Fq1RQXac%3D,生产制造,自动化产品及技术的开发和销售商,广东省,股权融资,股权融资,未披露,2021.05.25,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=b3d1a7a0bec8540d9d97b25219027ec4&id=fd057ea05b73da69a1ed0c258d274fe2,"[{'investor': '红杉中国', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=4b1c54ebfbdd53d6a0af12a37b98d5d4&id=a8d12f114305bd75e39f9e3abec13c6b', 'invest_type_name': '独投', 'invest_type': '4'}]",516
15,卓筑汇,https://img1.qimingpian.cn/uploadImg/202206/62a7ee5a74d6c.png,人工智能,建筑科技解决方案提供商,天津市,A轮,A轮,数百万美元,2022.06.14,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=7f26d97ef6b45434a88b5823d4af903e&id=881deeb3f06caca026c6ddd9ac2bc518,"[{'investor': '保利资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=5b8ee53fba88597080c5e2ab8179d186&id=f3d79ce7421fa640a18cd96f6ba75502', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '高瓴创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=af2742b715695f55aa827f8ba4fa580c&id=c2946868a0d82299e956947366e25380', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '源码资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=00a804098f0c5d118bcdb13a5700db5c&id=9e8584f3ac1bd6496efc36ed84048d79', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '险峰K2VC', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=a0acfa622c1d5a92bacf3398ee459f95&id=e20062e9c4df79c474a7bd84341e84a0', 'invest_type_name': '跟投', 'invest_type': '2'}]",468
16,道金智能,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202109/product615436cc9796b665712795.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=8eGM5bAHEameozg5A50tufWjWM0%3D,人工智能,新材料智慧工厂解决方案提供商,江苏省,A轮,A轮,近5000万人民币,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=ec4c9e5c6ddc579ca005745bfb37eb7a&id=f4359b7e0accacd5f322d4359c0d33dd,"[{'investor': '毅达资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=622642b315575963a169ac43d11d4e4c&id=b15f11c942ef7c5516b52ce83c53e259', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '启泰资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=b77d47301dda566bbadba9458ceb6f5e&id=c1d3bf7ad9d51d529ed6ff411ca23a62', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '新兴产业', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=b233396374c65340bc5a304d8e6d3280&id=f05b2669fffba5a0d30dfd306d63b2fd', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '清源投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=34f2f4c95be258a8af27bd89f462761c&id=312165495b85d43bbf852ad45b18460f', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '珊瑚投资', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=b12f8f0d31555d2aa55e5b07daa6dd48&id=8fcd1df593c8374c6d75947c898ed225', 'invest_type_name': '', 'invest_type': '0'}, {'investor': '上海电科', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=76cf24edb97f54c4ac0283732ef7a6ae&id=13f185f22b3d256c157731ae98dca068', 'invest_type_name': '', 'invest_type': '0'}]",450
17,星猿哲科技,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/201812/product5c0769a2bd2f0124996603.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=oGeKl1qIrS%2BBh6procoabuMYcU4%3D,先进制造,自动化分拣机器人研发商,上海市,B+轮,B+轮,4000万美元,2022.06.15,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=ef443c526df45645a44939238fc5b0f8&id=ff04eefca5ddf9f1014ddcdd9763ab22,"[{'investor': '今日资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=76550dd25a4a58418ef85f8efc0846e7&id=cfef1d7effbc1de4e257d0924abd2a98', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '高榕资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=fae58c4fcd0d5364b162c065438f2d90&id=49ddcd29e21427ad60e7401a70214622', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '五源资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=9a943ed431aa592aa9ad3fb2c9bcf255&id=bc51500d1c4d9ae39451347c6449e12e', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '源码资本', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=00a804098f0c5d118bcdb13a5700db5c&id=9e8584f3ac1bd6496efc36ed84048d79', 'invest_type_name': '跟投', 'invest_type': '2'}]",438
18,纳诺特科技,https://img1.qimingpian.cn/uploadImg/202206/62a852d95acb2.png,生产制造,超薄金属导电膜研发商,广东省,天使+,天使+,千万级人民币,2022.06.14,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=fd8affa46560588594c2b3513f7efbcc&id=c283ec7bfe956a83708ac10d780eb82c,"[{'investor': '中科创星', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=eca36b980bc351deaaa87962ded0d3dc&id=f4daf7b0ccd3f406756806db6e91d2b8', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '力合科创', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=170d2c2235b95785ac617bb726bbcf1a&id=47a76ab611f5fb3657cb6697ff903a66', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '广华创投', 'detail': 'http://vip.qimingpian.cn/#/detailorg?src=magic&ticket=6fe714e2350f5ea9afec4abcacfe5879&id=cc9a82215e4534fac11c6019e673977d', 'invest_type_name': '跟投', 'invest_type': '2'}]",420
19,礼胜飞行汽车,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202205/product627375f3429fe091335693.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1657902382&Signature=SXl%2F%2BAeb6cVWZZ%2Fv6EoqA2sV5iM%3D,汽车交通,飞行汽车eVTOL，电动垂直起降，天上飞地上跑，万亿级市场。,上海市,,,,,http://vip.qimingpian.cn/#/detailcom?src=magic&ticket=1ce76fbd9e4457f18210e661d933ee84&id=a1de1f210405006f6d280a6bbf792372,[],420
